Département;Tarif 1;Tarif 2;Tarif 3;Tarif 4;Tarif 5;Tarif 6;Tarif 7;Tarif 8;Tarif 9;Tarif 10;Tarif 11;Tarif 12;Tarif 13;Tarif 14
1;39.59;42.52;44.89;46.98;48.59;49.87;51.21;52.53;53.85;0.64;0.45;0.42;0.35;0.3
2;33.03;35.44;37.42;39.2;40.51;41.59;42.69;43.82;44.91;0.5;0.35;0.36;0.28;0.25
3;26.46;28.39;30;31.39;32.45;33.36;34.21;35.11;36;0.45;0.3;0.29;0.23;0.21
4;43.79;46.98;49.59;51.95;53.7;55.17;56.61;58.07;59.52;0.69;0.47;0.47;0.37;0.33
4;52.53;56.36;59.52;62.34;64.44;66.19;67.94;69.71;71.45;0.82;0.56;0.58;0.45;0.39
5;43.79;46.98;49.59;51.95;53.7;55.17;56.61;58.07;59.52;0.69;0.47;0.47;0.37;0.33
5;52.53;56.36;59.52;62.34;64.44;66.19;67.94;69.71;71.45;0.82;0.56;0.58;0.45;0.39
6;43.79;46.98;49.59;51.95;53.7;55.17;56.61;58.07;59.52;0.69;0.47;0.47;0.37;0.33
6;52.53;56.36;59.52;62.34;64.44;66.19;67.94;69.71;71.45;0.82;0.56;0.58;0.45;0.39
7;39.59;42.52;44.89;46.98;48.59;49.87;51.21;52.53;53.85;0.64;0.45;0.42;0.35;0.3
8;33.03;35.44;37.42;39.2;40.51;41.59;42.69;43.82;44.91;0.5;0.35;0.36;0.28;0.25
9;43.79;46.98;49.59;51.95;53.7;55.17;56.61;58.07;59.52;0.69;0.47;0.47;0.37;0.33
9;52.53;56.36;59.52;62.34;64.44;66.19;67.94;69.71;71.45;0.82;0.56;0.58;0.45;0.39
10;33.03;35.44;37.42;39.2;40.51;41.59;42.69;43.82;44.91;0.5;0.35;0.36;0.28;0.25
11;43.79;46.98;49.59;51.95;53.7;55.17;56.61;58.07;59.52;0.69;0.47;0.47;0.37;0.33
12;39.59;42.52;44.89;46.98;48.59;49.87;51.21;52.53;53.85;0.64;0.45;0.42;0.35;0.3
13;43.79;46.98;49.59;51.95;53.7;55.17;56.61;58.07;59.52;0.69;0.47;0.47;0.37;0.33
14;26.46;28.39;30;31.39;32.45;33.36;34.21;35.11;36;0.41;0.3;0.29;0.23;0.21
15;33.03;35.44;37.42;39.2;40.51;41.59;42.69;43.82;44.91;0.5;0.35;0.36;0.28;0.25
16;26.46;28.39;30;31.39;32.45;33.36;34.21;35.11;36;0.41;0.3;0.29;0.23;0.21
17;26.46;28.39;30;31.39;32.45;33.36;34.21;35.11;36;0.41;0.3;0.29;0.23;0.21
17;31.76;34.08;36;37.67;38.93;40.04;41.05;42.11;43.17;0.49;0.33;0.36;0.28;0.23
18;26.46;28.39;30;31.39;32.45;33.36;34.21;35.11;36;0.41;0.3;0.29;0.23;0.21
19;33.03;35.44;37.42;39.2;40.51;41.59;42.69;43.82;44.91;0.5;0.35;0.36;0.28;0.25
20;87.55;93.97;99.23;103.89;107.39;110.3;113.22;116.14;119.06;1.37;0.94;0.94;0.74;0.66
21;33.03;35.44;37.42;39.2;40.51;41.59;42.69;43.82;44.91;0.5;0.35;0.36;0.28;0.25
22;26.46;28.39;30;31.39;32.45;33.36;34.21;35.11;36;0.41;0.3;0.29;0.23;0.21
22;31.76;34.08;36;37.67;38.93;40.04;41.05;42.11;43.17;0.49;0.33;0.36;0.28;0.23
23;27.78;29.82;31.49;32.96;34.08;35.02;35.9;36.86;37.8;0.42;0.32;0.3;0.24;0.22
24;33.03;35.44;37.42;39.2;40.51;41.59;42.69;43.82;44.91;0.5;0.35;0.36;0.28;0.25
25;39.59;42.52;44.89;46.98;48.59;49.87;51.21;52.53;53.85;0.64;0.45;0.42;0.35;0.3
