Min;Max;Modulation
0.00;38.20;-2.50%
38.21;92.79;-2.00%
92.80;147.37;-1.50%
147.38;201.96;-1.00%
201.97;256.54;-0.50%
256.55;311.13;0.00%
311.14;365.71;0.50%
365.72;420.30;1.00%
420.31;474.88;1.50%
474.89;529.47;2.00%
529.48;584.05;2.50%
